ticker,sector,industry
BLFS,Healthcare,Medical Instruments & Supplies
SLRC,Financial Services,Asset Management
HG,Financial Services,Insurance - Reinsurance
WALD,Technology,Software - Application
OPAL,Utilities,Utilities - Regulated Gas
CCO,Communication Services,Advertising Agencies
SILV,Basic Materials,Other Precious Metals & Mining
INN,Real Estate,REIT - Hotel & Motel
CSR,Real Estate,REIT - Residential
BLX,Financial Services,Banks - Regional
ARLO,Industrials,Building Products & Equipment
ATXS,Healthcare,Biotechnology
ZNTL,Healthcare,Biotechnology
ULH,Industrials,Trucking
GB,Technology,Software - Infrastructure
HSTM,Healthcare,Health Information Services
RPAY,Technology,Software - Infrastructure
ASTE,Industrials,Farm & Heavy Construction Machinery
ZYME,Healthcare,Biotechnology
PCT,Industrials,Pollution & Treatment Controls
NKLA,Industrials,Farm & Heavy Construction Machinery
CFFN,Financial Services,Banks - Regional
BV,Industrials,Specialty Business Services
CVAC,Healthcare,Biotechnology
BTDR,Technology,Software - Application
ABL,Financial Services,Insurance - Life
PHAR,Healthcare,Biotechnology
SLCA,Energy,Oil & Gas Equipment & Services
UTI,Consumer Defensive,Education & Training Services
SNCY,Industrials,Airlines
NXRT,Real Estate,REIT - Residential
NGL,Energy,Oil & Gas Midstream
RMR,Real Estate,Real Estate Services
PDM,Real Estate,REIT - Office
PGY,Technology,Software - Infrastructure
CGEM,Healthcare,Biotechnology
SPLP,Industrials,Conglomerates
HIBB,Consumer Cyclical,Apparel Retail
SLN,Healthcare,Biotechnology
PUBM,Technology,Software - Application
UTL,Utilities,Utilities - Diversified
CNOB,Financial Services,Banks - Regional
HOUS,Real Estate,Real Estate Services
TYRA,Healthcare,Biotechnology
SLP,Healthcare,Health Information Services
ECC,Financial Services,Asset Management
WLKP,Basic Materials,Chemicals
KARO,Technology,Software - Application
SLRN,Healthcare,Biotechnology
ABVX,Healthcare,Biotechnology
LBAI,Financial Services,Banks - Regional
NG,Basic Materials,Gold
DMRC,Technology,Information Technology Services
RGR,Industrials,Aerospace & Defense
BGS,Consumer Defensive,Packaged Foods
ICVX,Healthcare,Biotechnology
ETNB,Healthcare,Biotechnology
HAYN,Industrials,Metal Fabrication
CNDT,Technology,Information Technology Services
OPK,Healthcare,Diagnostics & Research
UAN,Basic Materials,Agricultural Inputs
RSKD,Technology,Software - Application
SAVE,Industrials,Airlines
GNK,Industrials,Marine Shipping
CGBD,Financial Services,Asset Management
CYRX,Industrials,Integrated Freight & Logistics
SPTN,Consumer Defensive,Food Distribution
CRAI,Industrials,Consulting Services
CBL,Real Estate,REIT - Retail
TK,Energy,Oil & Gas Midstream
ETD,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
EOLS,Healthcare,Drug Manufacturers - Specialty & Generic
YALA,Technology,Software - Application
NBR,Energy,Oil & Gas Drilling
MD,Healthcare,Medical Care Facilities
HKD,Technology,Software - Application
PRM,Basic Materials,Specialty Chemicals
FBMS,Financial Services,Banks - Regional
FLGT,Healthcare,Diagnostics & Research
ALXO,Healthcare,Biotechnology
LEU,Energy,Uranium
CNTA,Healthcare,Biotechnology
BBSI,Industrials,Staffing & Employment Services
AMAL,Financial Services,Banks - Regional
KELYB,Industrials,Staffing & Employment Services
IMAX,Communication Services,Entertainment
REX,Basic Materials,Chemicals
AMTB,Financial Services,Banks - Regional
SKYH,Industrials,Aerospace & Defense
VTOL,Energy,Oil & Gas Equipment & Services
TILE,Industrials,Building Products & Equipment
KELYA,Industrials,Staffing & Employment Services
MEI,Technology,Electronic Components
ZEUS,Basic Materials,Steel
DCOM,Financial Services,Banks - Regional
AMCX,Communication Services,Entertainment
YEXT,Technology,Software - Infrastructure
GRNT,Energy,Oil & Gas E&P
AVO,Consumer Defensive,Food Distribution
IMXI,Technology,Software - Infrastructure
HUYA,Communication Services,Entertainment
SCVL,Consumer Cyclical,Apparel Retail
THRY,Communication Services,Internet Content & Information
EXAI,Healthcare,Biotechnology
HA,Industrials,Airlines
TNP,Energy,Oil & Gas Midstream
GSL,Industrials,Rental & Leasing Services
FMBH,Financial Services,Banks - Regional
OFLX,Industrials,Specialty Industrial Machinery
DCO,Industrials,Aerospace & Defense
MTTR,Technology,Software - Application
BCYC,Healthcare,Biotechnology
SPCE,Industrials,Aerospace & Defense
HLVX,Healthcare,Biotechnology
PFC,Financial Services,Banks - Regional
CTBI,Financial Services,Banks - Regional
VREX,Healthcare,Medical Devices
NOAH,Financial Services,Asset Management
AMBC,Financial Services,Insurance - Specialty
GTN,Communication Services,Broadcasting
AC,Financial Services,Asset Management
STKL,Consumer Defensive,Packaged Foods
CCRN,Healthcare,Medical Care Facilities
MPLN,Healthcare,Health Information Services
DIN,Consumer Cyclical,Restaurants
AVBP,Healthcare,Biotechnology
TMP,Financial Services,Banks - Regional
HZO,Consumer Cyclical,Specialty Retail
QNST,Communication Services,Advertising Agencies
BDN,Real Estate,REIT - Office
KREF,Real Estate,REIT - Mortgage
EVLV,Industrials,Security & Protection Services
INNV,Healthcare,Medical Care Facilities
GHIX,Financial Services,Shell Companies
PBI,Industrials,Integrated Freight & Logistics
ALLO,Healthcare,Biotechnology
RDUS,Basic Materials,Steel
BITF,Financial Services,Capital Markets
AORT,Healthcare,Medical Devices
CLB,Energy,Oil & Gas Equipment & Services
OTLY,Consumer Defensive,Beverages - Non-Alcoholic
CHCT,Real Estate,REIT - Healthcare Facilities
LNZA,Industrials,Waste Management
AAOI,Technology,Communication Equipment
IIIN,Industrials,Metal Fabrication
ASIX,Basic Materials,Chemicals
LAB,Healthcare,Diagnostics & Research
LAAC,Basic Materials,Other Industrial Metals & Mining
VVI,Industrials,Specialty Business Services
HCSG,Healthcare,Medical Care Facilities
DX,Real Estate,REIT - Mortgage
DNTH,Healthcare,Biotechnology
EGBN,Financial Services,Banks - Regional
MYE,Consumer Cyclical,Packaging & Containers
CECO,Industrials,Pollution & Treatment Controls
SBOW,Energy,Oil & Gas E&P
BLND,Technology,Software - Application
DRQ,Energy,Oil & Gas Equipment & Services
NVRI,Industrials,Waste Management
NYMT,Real Estate,REIT - Mortgage
CVLG,Industrials,Trucking
WOOF,Consumer Cyclical,Specialty Retail
FLYX,Industrials,Airlines
ASC,Industrials,Marine Shipping
DRD,Basic Materials,Gold
LAC,Basic Materials,Other Industrial Metals & Mining
ASTS,Technology,Communication Equipment
CRNC,Technology,Software - Application
PBT,Energy,Oil & Gas Midstream
CMPS,Healthcare,Medical Care Facilities
AACT,Financial Services,Shell Companies
PFLT,Financial Services,Asset Management
BMEA,Healthcare,Biotechnology
CFB,Financial Services,Banks - Regional
MTAL,Basic Materials,Copper
PRA,Financial Services,Insurance - Property & Casualty
ICG,Technology,Semiconductors
CIFR,Financial Services,Capital Markets
WWW,Consumer Cyclical,Footwear & Accessories
DDD,Technology,Computer Hardware
IGMS,Healthcare,Biotechnology
GMRE,Real Estate,REIT - Healthcare Facilities
PRTC,Healthcare,Biotechnology
PRME,Healthcare,Biotechnology
TCPC,Financial Services,Asset Management
SVRA,Healthcare,Biotechnology
AOSL,Technology,Semiconductors
CLNE,Energy,Oil & Gas Refining & Marketing
KIDS,Healthcare,Medical Devices
DHC,Real Estate,REIT - Healthcare Facilities
LASR,Technology,Semiconductors
ALTI,Financial Services,Asset Management
OABI,Healthcare,Biotechnology
RGNX,Healthcare,Biotechnology
SMR,Industrials,Specialty Industrial Machinery
ELVN,Healthcare,Biotechnology
ANAB,Healthcare,Biotechnology
WSR,Real Estate,REIT - Retail
CSTL,Healthcare,Diagnostics & Research
PL,Industrials,Aerospace & Defense
FLWS,Consumer Cyclical,Specialty Retail
HFWA,Financial Services,Banks - Regional
KC,Technology,Software - Application
BIGC,Technology,Software - Application
TVTX,Healthcare,Biotechnology
VMEO,Technology,Software - Application
SILK,Healthcare,Medical Devices
ATRI,Healthcare,Medical Instruments & Supplies
EFXT,Energy,Oil & Gas Equipment & Services
NVRO,Healthcare,Medical Devices
SNPO,Technology,Electronics & Computer Distribution
NOA,Energy,Oil & Gas Equipment & Services
VITL,Consumer Defensive,Farm Products
MATV,Basic Materials,Specialty Chemicals
EVGO,Consumer Cyclical,Specialty Retail
IIIV,Technology,Software - Infrastructure
KIND,Communication Services,Internet Content & Information
TIGR,Financial Services,Capital Markets
HCKT,Technology,Information Technology Services
HUT,Financial Services,Capital Markets
HDSN,Basic Materials,Specialty Chemicals
TRIN,Financial Services,Asset Management
FCBC,Financial Services,Banks - Regional
SPRY,Healthcare,Biotechnology
SDA,Consumer Cyclical,Auto & Truck Dealerships
TIPT,Financial Services,Insurance - Specialty
SMRT,Technology,Software - Application
SUPV,Financial Services,Banks - Regional
TITN,Industrials,Industrial Distribution
LEGH,Consumer Cyclical,Residential Construction
HBT,Financial Services,Banks - Regional
ATRO,Industrials,Aerospace & Defense
HSII,Industrials,Staffing & Employment Services
PLPC,Industrials,Electrical Equipment & Parts
CION,Financial Services,Asset Management
AGX,Industrials,Engineering & Construction
MBWM,Financial Services,Banks - Regional
AFRI,Consumer Defensive,Farm Products
SWBI,Industrials,Aerospace & Defense
AMRK,Financial Services,Capital Markets
SCWX,Technology,Software - Infrastructure
CCAP,Financial Services,Asset Management
NFGC,Basic Materials,Gold
ACCO,Industrials,Business Equipment & Supplies
OSBC,Financial Services,Banks - Regional
MTW,Industrials,Farm & Heavy Construction Machinery
GSBC,Financial Services,Banks - Regional
ANTX,Healthcare,Biotechnology
NBBK,Financial Services,Banks—Regional
NNDM,Technology,Computer Hardware
MED,Consumer Cyclical,Personal Services
CRD-A,Financial Services,Insurance Brokers
CHUY,Consumer Cyclical,Restaurants
IRMD,Healthcare,Medical Devices
CASS,Industrials,Specialty Business Services
SPWR,Technology,Solar
CRBU,Healthcare,Biotechnology
YMAB,Healthcare,Biotechnology
EDIT,Healthcare,Biotechnology
MCBS,Financial Services,Banks—Regional
UVSP,Financial Services,Banks—Regional
CALT,Healthcare,Biotechnology
CINT,Technology,Software—Infrastructure
ATEX,Communication Services,Telecom Services
VALN,Healthcare,Biotechnology
VTS,Energy,Oil & Gas E&P
MODV,Healthcare,Medical Care Facilities
PLOW,Consumer Cyclical,Auto Parts
LXU,Basic Materials,Chemicals
CRD-B,Financial Services,Insurance Brokers
APLD,Financial Services,Capital Markets
IGIC,Financial Services,Insurance—Diversified
EGLE,Industrials,Marine Shipping
HCAT,Healthcare,Health Information Services
FATE,Healthcare,Biotechnology
RILY,Financial Services,Financial Conglomerates
CLCO,Energy,Oil & Gas Midstream
FUBO,Communication Services,Broadcasting
VINP,Financial Services,Asset Management
ALT,Healthcare,Biotechnology
HLLY,Consumer Cyclical,Auto Parts
NRDY,Technology,Software—Application
FCEL,Industrials,Electrical Equipment & Parts
FRPH,Real Estate,Real Estate Services
RICK,Consumer Cyclical,Restaurants
DEC,Energy,Oil & Gas E&P
EH,Industrials,Aerospace & Defense
ARQT,Healthcare,Biotechnology
EZPW,Financial Services,Credit Services
HVT,Consumer Cyclical,Home Improvement Retail
LWLG,Basic Materials,Specialty Chemicals
OCUL,Healthcare,Biotechnology
LUNG,Healthcare,Medical Devices
HSAI,Consumer Cyclical,Auto Parts
RWAY,Financial Services,Credit Services
AVTE,Healthcare,Biotechnology
BFST,Financial Services,Banks—Regional
TXO,Energy,Oil & Gas E&P
NPK,Industrials,Aerospace & Defense
MRNS,Healthcare,Biotechnology
REAX,Real Estate,Real Estate Services
ALEC,Healthcare,Biotechnology
RBBN,Communication Services,Telecom Services
CLW,Basic Materials,Paper & Paper Products
SAGA,Financial Services,Shell Companies
DENN,Consumer Cyclical,Restaurants
UFCS,Financial Services,Insurance—Property & Casualty
FDUS,Financial Services,Asset Management
SRG,Real Estate,REIT—Retail
LQDT,Consumer Cyclical,Internet Retail
HVT-A,Consumer Cyclical,Home Improvement Retail
DADA,Consumer Cyclical,Internet Retail
HBNC,Financial Services,Banks—Regional
GGR,Consumer Cyclical,Auto Manufacturers
FC,Industrials,Consulting Services
LXRX,Healthcare,Biotechnology
DXPE,Industrials,Industrial Distribution
OFIX,Healthcare,Medical Devices
DSP,Technology,Software—Application
FPI,Real Estate,REIT—Specialty
CGNT,Technology,Software—Infrastructure
DESP,Consumer Cyclical,Travel Services
UHT,Real Estate,REIT—Healthcare Facilities
IVVD,Healthcare,Biotechnology
PGRU,Communication Services,Internet Content & Information
SMWB,Technology,Software—Application
MSBI,Financial Services,Banks—Regional
OSUR,Healthcare,Medical Instruments & Supplies
GOOD,Real Estate,REIT—Diversified
MLYS,Healthcare,Biotechnology
ADPT,Healthcare,Biotechnology
VEL,Financial Services,Mortgage Finance
MERC,Basic Materials,Paper & Paper Products
APPS,Technology,Software—Application
ATNI,Communication Services,Telecom Services
CVRX,Healthcare,Medical Devices
ISPR,Consumer Defensive,Tobacco
EBF,Industrials,Business Equipment & Supplies
FMNB,Financial Services,Banks—Regional
CURV,Consumer Cyclical,Apparel Retail
BWMN,Industrials,Engineering & Construction
TRST,Financial Services,Banks—Regional
OBE,Energy,Oil & Gas E&P
NR,Energy,Oil & Gas Equipment & Services
GLDD,Industrials,Engineering & Construction
DBI,Consumer Cyclical,Footwear & Accessories
GNE,Utilities,Utilities—Regulated Electric
MGIC,Technology,Information Technology Services
YORW,Utilities,Utilities—Regulated Water
CCB,Financial Services,Banks—Regional
URG,Energy,Uranium
CLDT,Real Estate,REIT—Hotel & Motel
ITRN,Technology,Communication Equipment
CATC,Financial Services,Banks—Regional
CPF,Financial Services,Banks—Regional
GRPN,Communication Services,Internet Content & Information
SRI,Consumer Cyclical,Auto Parts
IBCP,Financial Services,Banks—Regional
ZIMV,Healthcare,Medical Devices
PETQ,Healthcare,Drug Manufacturers—Specialty & Generic
QD,Financial Services,Credit Services
KALV,Healthcare,Biotechnology
HEPS,Consumer Cyclical,Internet Retail
NKTX,Healthcare,Biotechnology
CNSL,Communication Services,Telecom Services
MXCT,Healthcare,Medical Devices
ADTN,Technology,Communication Equipment
COGT,Healthcare,Biotechnology
ARIS,Utilities,Utilities—Regulated Water
TTI,Energy,Oil & Gas Equipment & Services
CYH,Healthcare,Medical Care Facilities
HTBK,Financial Services,Banks—Regional
KE,Industrials,Electrical Equipment & Parts
EQBK,Financial Services,Banks—Regional
KRT,Consumer Cyclical,Packaging & Containers
MREO,Healthcare,Biotechnology
FULC,Healthcare,Biotechnology
XPOF,Consumer Cyclical,Leisure
MLAB,Technology,Scientific & Technical Instruments
GUTS,Healthcare,Biotechnology
CTLP,Technology,Information Technology Services
LBPH,Healthcare,Biotechnology
LND,Consumer Defensive,Farm Products
GPRK,Energy,Oil & Gas E&P
URGN,Healthcare,Biotechnology
BWMX,Consumer Cyclical,Specialty Retail
BRY,Energy,Oil & Gas E&P
BALY,Consumer Cyclical,Resorts & Casinos
MLR,Consumer Cyclical,Auto Parts
TAST,Consumer Cyclical,Restaurants
ACIC,Financial Services,Insurance—Property & Casualty
STTK,Healthcare,Biotechnology
ML,Technology,Software—Application
LAW,Technology,Software—Application
LAND,Real Estate,REIT—Specialty
ANRO,Healthcare,Biotechnology
DGICB,Financial Services,Insurance—Property & Casualty
STEM,Technology,Software—Infrastructure
BH,Consumer Cyclical,Restaurants
VTRU,Consumer Defensive,Education & Training Services
LIND,Consumer Cyclical,Travel Services
SSP,Communication Services,Broadcasting
DGICA,Financial Services,Insurance—Property & Casualty
KRRO,Healthcare,Biotechnology
ATLC,Financial Services,Credit Services
ACRE,Real Estate,REIT—Mortgage
WVE,Healthcare,Biotechnology
CDNA,Healthcare,Diagnostics & Research
RVNC,Healthcare,Biotechnology
CLOV,Healthcare,Healthcare Plans
LZM,Basic Materials,Other Industrial Metals & Mining
CVGW,Consumer Defensive,Food Distribution
ORGO,Healthcare,Drug Manufacturers—Specialty & Generic
AMRN,Healthcare,Drug Manufacturers—General
CAC,Financial Services,Banks—Regional
HONE,Financial Services,Banks—Regional
CPAC,Basic Materials,Building Materials
LBC,Financial Services,Banks—Regional
ZH,Communication Services,Internet Content & Information
PLSE,Healthcare,Medical Instruments & Supplies
UVE,Financial Services,Insurance—Property & Casualty
NFBK,Financial Services,Banks—Regional
CCBG,Financial Services,Banks—Regional
AMNB,Financial Services,Banks—Regional
EPIX,Healthcare,Biotechnology
AVAH,Healthcare,Medical Care Facilities
SMBC,Financial Services,Banks—Regional
LMB,Industrials,Building Products & Equipment
BOC,Communication Services,Advertising Agencies
