"","x"
"1",0.0503407791820472
"2",0.0447806485321456
"3",0.0409104920267742
"4",0.0378218351278043
"5",0.0355438522367129
"6",0.0334974638663939
"7",0.0318966141993764
"8",0.0307845503361586
"9",0.0301979207297416
"10",0.0295665792412727
"11",0.0291740633818467
"12",0.029071167927234
"13",0.0292755308209776
"14",0.0293555118744457
"15",0.0295585275747827
"16",0.0299183703296508
"17",0.030393985807379
"18",0.030848885920725
"19",0.0313031754008737
"20",0.0318265683934795
"21",0.0323954375792388
"22",0.032904381427552
"23",0.0334358746724188
"24",0.0339795612178326
"25",0.0344999372017858
"26",0.0350134196229215
"27",0.0355284042673114
"28",0.0360193185471047
"29",0.0364399726658649
"30",0.0369069585305777
"31",0.037366276200915
"32",0.0377791772692966
"33",0.0381251608415489
"34",0.0384869255391269
"35",0.0388770411992905
"36",0.0392079490038171
"37",0.0394298199228631
"38",0.0397713842533998
"39",0.0400970022922111
"40",0.0403561446455765
